UnitID,City,Zipcode,Battalion,StationArea,Box,OriginalPriority,Priority,ALSUnit,CallTypeGroup,NumAlarms,UnitType,UnitSequenceInCallDispatch,FirePreventionDistrict,SupervisorDistrict,Neighborhood,Delay
M01,SF,94102.0,B03,01,1453,3,3,True,,1,MEDIC,2.0,3.0,6.0,Tenderloin,2.3333333
B09,SF,94127.0,B08,39,8573,3,3,False,,1,CHIEF,6.0,8.0,7.0,West of Twin Peaks,1.7666667
E20,SF,94127.0,B08,39,8573,3,3,False,,1,ENGINE,8.0,8.0,7.0,West of Twin Peaks,2.2833333
E29,SF,94110.0,B02,29,5217,3,3,True,,1,ENGINE,2.0,2.0,9.0,Mission,3.0166667
E22,SF,94122.0,B08,22,7371,3,3,False,,1,ENGINE,1.0,8.0,5.0,Inner Sunset,0.85
B03,SF,94107.0,B10,37,2535,3,3,False,,1,CHIEF,4.0,10.0,10.0,Potrero Hill,2.2833333
E07,SF,94110.0,B06,07,5472,3,3,False,,1,ENGINE,1.0,6.0,9.0,Mission,2.0
E01,SF,94103.0,B03,01,2313,3,3,False,,1,ENGINE,1.0,2.0,6.0,South of Market,3.3
E37,SF,94107.0,B10,37,2544,3,3,False,,1,ENGINE,1.0,10.0,10.0,Potrero Hill,2.0
M38,SF,94109.0,B02,03,1545,3,3,True,,1,MEDIC,2.0,2.0,6.0,Tenderloin,4.5833335
E22,SF,94122.0,B08,22,7331,3,3,False,,1,ENGINE,1.0,8.0,5.0,Inner Sunset,2.05
M36,SF,94103.0,B02,06,5227,3,3,True,,1,MEDIC,2.0,2.0,8.0,Mission,3.1666667
M17,SF,94124.0,B10,17,6647,E,E,True,,1,MEDIC,1.0,10.0,10.0,Bayview Hunters Point,2.8833334
RS1,SF,94103.0,B03,01,2252,3,3,False,,1,RESCUE SQUAD,1.0,3.0,6.0,South of Market,3.5666666
E12,SF,94117.0,B05,12,5163,3,3,False,,1,ENGINE,1.0,5.0,5.0,Haight Ashbury,1.4333333
M13,SF,94102.0,B04,03,1544,3,3,True,,1,MEDIC,2.0,1.0,6.0,Tenderloin,4.4666667
E03,SF,94109.0,B04,03,1556,3,3,False,,1,ENGINE,2.0,4.0,6.0,Tenderloin,3.7833333
E02,SF,94108.0,B01,13,1313,3,3,False,,1,ENGINE,1.0,1.0,3.0,Chinatown,1.65
E17,SF,94124.0,B10,17,6573,3,3,True,,1,ENGINE,1.0,10.0,10.0,Bayview Hunters Point,2.6833334
B08,SF,94132.0,B08,19,8772,3,3,False,,1,CHIEF,3.0,8.0,7.0,Lakeshore,1.8166667
